seed,variant,label,makespan_s,distance_m,energy_kwh,load_std_s,runtime_s
3,B4_no_adaptive,B4 w/o adaptive weights,3501.3899624999995,35198.09614,102.89074731871212,1534.9572469616214,0.4181025600000794
3,B5_no_SA,B5 w/o simulated annealing,3538.9590875,33912.09777,97.57648166304612,1566.3951449107597,0.3856845720001729
3,B6_no_bottleneck,B6 w/o bottleneck destroy,3518.027631707317,30487.688339999997,89.99268961946022,1639.6931877641011,0.6468601870001294
3,B7_basic_operators,B7 basic operators only,3593.632825,37942.87231,108.5086162654514,1603.4630491533005,0.301424999000119
4,B1_Plain_ALNS,B1 Plain ALNS,3544.7393714285718,31708.93481,95.92111728630051,1922.1976355203437,0.6126387989997966
4,B2_Graph_Greedy,B2 Graph + Greedy,4641.19964,42723.071209999995,120.43385253118687,2079.6258677944934,0.0005943910000496544
4,B3_Graph_ALNS,B3 Graph + ALNS (full),3578.959171428571,36328.34357,105.89402953293246,1691.8462548352318,0.3606097130004855
4,B4_no_adaptive,B4 w/o adaptive weights,3452.6380386666665,32306.07764,96.69926637184979,1952.522407041722,0.3982261009996364
4,B5_no_SA,B5 w/o simulated annealing,3474.106714285714,33030.78291,97.2946862301579,2176.5439922041546,0.35918225000023085
4,B6_no_bottleneck,B6 w/o bottleneck destroy,3541.514042857143,35459.35884,103.76155034993687,1880.1180149128936,0.46907877899957384
4,B7_basic_operators,B7 basic operators only,3578.959171428571,36328.34357,105.89402953293246,1691.8462548352318,0.27956911900037085
5,B1_Plain_ALNS,B1 Plain ALNS,3593.8966375,35498.18194,106.21441174469062,1948.7175269905076,0.513362763999794
5,B2_Graph_Greedy,B2 Graph + Greedy,4731.151800000001,40837.38114,119.07126281616165,1948.7175269905076,0.0006705599998895195
5,B3_Graph_ALNS,B3 Graph + ALNS (full),3590.351141025641,38279.06267,114.29351937267683,1838.4776310850236,0.38140946200019243
5,B4_no_adaptive,B4 w/o adaptive weights,3558.5207414634147,33100.821710000004,101.02487114352907,1817.9658962697843,0.38091284800066205
